Date/Time	Electricity:Facility [kW](Hourly)	Fans:Electricity [kW](Hourly)	Cooling:Electricity [kW](Hourly)	Heating:Electricity [kW](Hourly)	InteriorLights:Electricity [kW](Hourly)	InteriorEquipment:Electricity [kW](Hourly)	Gas:Facility [kW](Hourly)	Heating:Gas [kW](Hourly)	Electricity:Facility [kW](Monthly)	Gas:Facility [kW](Monthly)
 01/06  09:00:00	49.9402144	3.478844803	0	0	38.36857217	8.092797425	51.6794269	51.6794269		
 01/06  10:00:00	61.91426327	3.478844803	0	0	49.33102137	9.104397103	41.35645075	41.35645075		
 01/06  11:00:00	61.91426327	3.478844803	0	0	49.33102137	9.104397103	31.54815373	31.54815373		
 01/06  12:00:00	61.91426327	3.478844803	0	0	49.33102137	9.104397103	20.30729053	20.30729053		
 01/06  13:00:00	55.421439	3.478844803	0	0	43.84979677	8.092797425	11.86520524	11.86520524		
 01/06  14:00:00	61.91426327	3.478844803	0	0	49.33102137	9.104397103	5.520186424	5.520186424		
 01/06  15:00:00	61.91426327	3.478844803	0	0	49.33102137	9.104397103	4.874566421	4.874566421		
 01/06  16:00:00	61.91426327	3.478844803	0	0	49.33102137	9.104397103	4.841187334	4.841187334		
 01/06  17:00:00	63.40142994	3.478844803	0	0	49.33102137	9.104397103	8.555711454	8.555711454		
 01/06  18:00:00	29.78327595	0.37020345	0	0	16.44367379	4.046398712	12.67304252	12.67304252		
 01/06  19:00:00	16.08459728	0.668773004	0	0	5.481224596	1.011599678	22.62065597	22.62065597		
 01/06  20:00:00	16.19239514	0.776570865	0	0	5.481224596	1.011599678	25.86876726	25.86876726		
 01/06  21:00:00	16.27940176	0.863577483	0	0	5.481224596	1.011599678	28.73544291	28.73544291		
 01/06  22:00:00	16.31350937	0.897685097	0	0	5.481224596	1.011599678	29.73172031	29.73172031		
 01/06  23:00:00	16.38610999	0.970285717	0	0	5.481224596	1.011599678	32.16489336	32.16489336		
 01/06  24:00:00	16.36146988	0.945645604	0	0	5.481224596	1.011599678	31.20778753	31.20778753		
 01/07  01:00:00	16.44021259	1.024388313	0	0	5.481224596	1.011599678	33.87210101	33.87210101		
 01/07  02:00:00	16.47180922	1.055984943	0	0	5.481224596	1.011599678	34.75726638	34.75726638		
 01/07  03:00:00	16.57682907	1.161004799	0	0	5.481224596	1.011599678	38.3386272	38.3386272		
 01/07  04:00:00	16.5766561	1.160831823	0	0	5.481224596	1.011599678	38.14987022	38.14987022		
 01/07  05:00:00	16.62345461	1.207630333	0	0	5.481224596	1.011599678	39.82346046	39.82346046		
 01/07  06:00:00	16.55028226	1.134457986	0	0	5.481224596	1.011599678	37.21658042	37.21658042		
 01/07  07:00:00	16.57425612	1.158431841	0	0	5.481224596	1.011599678	38.16924675	38.16924675		
 01/07  08:00:00	12.94600241	3.478844803	0	0	5.481224596	1.011599678	59.39208296	59.39208296		
 01/07  09:00:00	10.98326876	3.478844803	0	0	5.481224596	2.023199356	50.54549537	50.54549537		
 01/07  10:00:00	20.68018255	3.478844803	0	0	13.15493903	4.046398712	41.44749421	41.44749421		
 01/07  11:00:00	20.68018255	3.478844803	0	0	13.15493903	4.046398712	40.78919577	40.78919577		
 01/07  12:00:00	20.68018255	3.478844803	0	0	13.15493903	4.046398712	39.67671307	39.67671307		
 01/07  13:00:00	9.971669077	3.478844803	0	0	5.481224596	1.011599678	30.14418052	30.14418052		
 01/07  14:00:00	9.971669077	3.478844803	0	0	5.481224596	1.011599678	17.84189992	17.84189992		
 01/07  15:00:00	9.971669077	3.478844803	0	0	5.481224596	1.011599678	16.45216047	16.45216047		
 01/07  16:00:00	9.971669077	3.478844803	0	0	5.481224596	1.011599678	20.78226653	20.78226653		
 01/07  17:00:00	6.866049317	0.373225043	0	0	5.481224596	1.011599678	12.78458954	12.78458954		
 01/07  18:00:00	16.01394611	0.598121835	0	0	5.481224596	1.011599678	20.08378271	20.08378271		
 01/07  19:00:00	16.13143641	0.715612139	0	0	5.481224596	1.011599678	23.91981943	23.91981943		
 01/07  20:00:00	16.306058	0.890233722	0	0	5.481224596	1.011599678	29.43020712	29.43020712		
 01/07  21:00:00	16.27317506	0.857350787	0	0	5.481224596	1.011599678	28.53831534	28.53831534		
 01/07  22:00:00	16.39356855	0.977744271	0	0	5.481224596	1.011599678	32.2069106	32.2069106		
 01/07  23:00:00	16.3230244	0.907200127	0	0	5.481224596	1.011599678	30.11077826	30.11077826		
 01/07  24:00:00	16.43731641	1.021492139	0	0	5.481224596	1.011599678	33.56161251	33.56161251		
 01/08  01:00:00	16.38061433	0.96479006	0	0	5.481224596	1.011599678	31.95746137	31.95746137		
 01/08  02:00:00	16.54611387	1.130289596	0	0	5.481224596	1.011599678	37.06488149	37.06488149		
 01/08  03:00:00	16.48968069	1.073856412	0	0	5.481224596	1.011599678	35.53855676	35.53855676		
 01/08  04:00:00	16.67651681	1.260692538	0	0	5.481224596	1.011599678	41.30749609	41.30749609		
 01/08  05:00:00	16.5796873	1.163863023	0	0	5.481224596	1.011599678	38.5109363	38.5109363		
 01/08  06:00:00	16.73664702	1.320822749	0	0	5.481224596	1.011599678	43.25608955	43.25608955		
 01/08  07:00:00	16.60776509	1.191940815	0	0	5.481224596	1.011599678	39.42217591	39.42217591		
 01/08  08:00:00	10.77462588	1.30746827	0	0	5.481224596	1.011599678	42.78485514	42.78485514		
 01/08  09:00:00	7.591631203	1.098806929	0	0	5.481224596	1.011599678	36.30481755	36.30481755		
 01/08  10:00:00	7.573959483	1.081135209	0	0	5.481224596	1.011599678	35.36222537	35.36222537		
 01/08  11:00:00	7.290918787	0.798094512	0	0	5.481224596	1.011599678	26.26581083	26.26581083		
 01/08  12:00:00	7.164188183	0.671363909	0	0	5.481224596	1.011599678	21.88804902	21.88804902		
 01/08  13:00:00	6.790602287	0.297778013	0	0	5.481224596	1.011599678	9.84730917	9.84730917		
 01/08  14:00:00	6.845959829	0.353135554	0	0	5.481224596	1.011599678	11.96305482	11.96305482		
 01/08  15:00:00	6.777927647	0.285103373	0	0	5.481224596	1.011599678	9.265203967	9.265203967		
 01/08  16:00:00	6.897847445	0.405023171	0	0	5.481224596	1.011599678	13.2186499	13.2186499		
 01/08  17:00:00	6.968995742	0.476171468	0	0	5.481224596	1.011599678	15.35834826	15.35834826		
 01/08  18:00:00	16.20631216	0.790487883	0	0	5.481224596	1.011599678	25.93197752	25.93197752		
 01/08  19:00:00	16.18868333	0.772859053	0	0	5.481224596	1.011599678	25.05836254	25.05836254		
 01/08  20:00:00	16.5554306	1.139606321	0	0	5.481224596	1.011599678	37.57348806	37.57348806		
 01/08  21:00:00	16.40468243	0.988858158	0	0	5.481224596	1.011599678	32.16268535	32.16268535		
 01/08  22:00:00	16.62293169	1.207107414	0	0	5.481224596	1.011599678	39.84587589	39.84587589		
 01/08  23:00:00	16.35885449	0.943030213	0	0	5.481224596	1.011599678	30.66309366	30.66309366		
 01/08  24:00:00	16.65666137	1.240837098	0	0	5.481224596	1.011599678	40.96068766	40.96068766		
 01/09  01:00:00	16.45303856	1.037214288	0	0	5.481224596	1.011599678	33.74439948	33.74439948		
 01/09  02:00:00	16.79066541	1.374841131	0	0	5.481224596	1.011599678	45.43935279	45.43935279		
 01/09  03:00:00	16.59737772	1.181553446	0	0	5.481224596	1.011599678	38.48165452	38.48165452		
 01/09  04:00:00	16.98876866	1.572944385	0	0	5.481224596	1.011599678	52.10216473	52.10216473		
 01/09  05:00:00	16.75419401	1.338369737	0	0	5.481224596	1.011599678	43.64637985	43.64637985		
 01/09  06:00:00	17.14345965	1.72763538	0	0	5.481224596	1.011599678	57.35553753	57.35553753		
 01/09  07:00:00	18.89466908	3.478844803	0	0	5.481224596	1.011599678	74.95385192	74.95385192		
 01/09  08:00:00	33.43607491	3.478844803	0	0	21.92489839	5.05799839	63.39491034	63.39491034		
 01/09  09:00:00	49.9402144	3.478844803	0	0	38.36857217	8.092797425	51.96710528	51.96710528		
 01/09  10:00:00	61.91426327	3.478844803	0	0	49.33102137	9.104397103	42.33997588	42.33997588		
 01/09  11:00:00	61.91426327	3.478844803	0	0	49.33102137	9.104397103	32.05585329	32.05585329		
